"Referência","Nº total de famílias GPTEs beneficiárias do Programa Fomento Rural","Nº de famílias indígenas beneficiárias do Programa Fomento Rural","Nº de famílias quilombolas beneficiárias do Programa Fomento Rural","Nº de famílias de agricultores familiares beneficiárias do Programa Fomento Rural","Nº de famílias extrativistas beneficiárias do Programa Fomento Rural","Nº de famílias de pescadores artesanais beneficiárias do Programa Fomento Rural","Nº de famílias ribeirinhas beneficiárias do Programa Fomento Rural","Nº de famílias assentadas da Reforma Agrária beneficiárias do Programa Fomento Rural","Nº de famílias acampadas rurais beneficiárias do Programa Fomento Rural","Nº de famílias atendidas pelo Programa Nacional de Crédito Fundiário beneficiárias do Programa Fomento Rural","Nº de famílias atingidas por empreendimentos de infraestrutura beneficiárias do Programa Fomento Rural","Nº de famílias de presos do sistema carcerário beneficiárias do Programa Fomento Rural","Nº de famílias de catadores de material reciclável beneficiárias do Programa Fomento Rural","Nº de famílias ciganas beneficiárias do Programa Fomento Rural","Nº de famílias pertencentes a comunidades de terreiro beneficiárias do Programa Fomento Rural"
"04/2012","","","","1","","","","","","","","","","",""
"05/2012","691","3","33","639","","","","10","","5","","","","1",""
"06/2012","998","","63","924","","","","3","","7","","","1","",""
"07/2012","89","","3","86","","","","","","","","","","",""
"08/2012","","","","10","","","","","","","","","","",""
"09/2012","","","","35","","","","","","","","","","",""
"10/2012","","","","16","","","","","","","","","","",""
"12/2012","15","","1","13","","","","","","1","","","","",""
"01/2013","","","","1","","","","","","","","","","",""
"06/2013","","","","1","","","","","","","","","","",""
"10/2013","32","1","1","30","","","","","","","","","","",""
"11/2013","218","","15","201","","1","","","","","","","1","",""
"12/2013","300","1","14","282","","1","","","","","","","1","","1"
"01/2014","508","","22","482","","1","","1","","","","","1","","1"
"02/2014","3710","2","73","3625","","2","","5","","","","","2","","1"
"03/2014","","","","21","","","","","","","","","","",""
"04/2014","233","","1","230","1","","","","","","","","1","",""
"05/2014","","","","6","","","","","","","","","","",""
"06/2014","2297","","569","1722","","5","","1","","","","","","",""
"07/2014","222","","8","214","","","","","","","","","","",""
"08/2014","","","","644","","16","","1","","","","","","",""
"09/2014","305","","19","281","1","3","","1","","","","","","",""
"10/2014","171","","4","160","1","5","","","","1","","","","",""
"11/2014","360","","22","324","","13","","","","","","","","","1"
"12/2014","110","","4","105","","1","","","","","","","","",""
"01/2015","23","","4","18","","","","1","","","","","","",""
"02/2015","771","","22","739","","","","","","7","","","1","","2"
"03/2015","548","","18","527","","","","","","1","","","","","2"
"04/2015","234","","8","220","","4","","","","1","","","","","1"
"05/2015","7","","3","4","","","","","","","","","","",""
"06/2015","2","","1","1","","","","","","","","","","",""
"07/2015","55","","1","54","","","","","","","","","","",""
"08/2015","","","","3","1","","","","","","","","","",""
"09/2015","72","","1","70","","","","","","1","","","","",""
"10/2015","7","","1","6","","","","","","","","","","",""
"11/2015","218","","1","216","1","","","","","","","","","",""
"12/2015","142","","27","115","","","","","","","","","","",""
"01/2016","372","","87","284","1","","","","","","","","","",""
"02/2016","32","","5","27","","","","","","","","","","",""
"03/2016","2","","1","1","","","","","","","","","","",""
"04/2016","32","","3","29","","","","","","","","","","",""
"05/2016","","","","1","","","","","","","","","","",""
"06/2016","","","","1","","","","","","","","","","",""
"07/2016","","","","4","","","","","","","","","","",""
"08/2016","","","","1","","","","","","","","","","",""
"09/2016","","","","2","","","","","","","","","","",""
"03/2017","","","","1","","","","","","","","","","",""
"06/2017","","","","1","","","","","","","","","","",""
"02/2018","","","","764","","8","","2","","","","","","",""
"04/2018","","","","159","","","","","","","","","","",""
"05/2018","","","","26","","","","","","","","","","",""
"06/2018","","","","1","","","","","","","","","","",""
"07/2018","","","","2","","","","","","","","","","",""
"10/2018","","","","4","","","","","","","","","","",""
"11/2018","","","","1","","","","","","","","","","",""
"12/2018","25","","1","24","","","","","","","","","","",""
"01/2019","","","","160","","","","","","3","","","","",""
"02/2019","","","","181","","","","","","","","","","",""
"03/2019","42","","1","39","","","","2","","","","","","",""
"04/2019","","","","46","","","","","","","","","","",""
"05/2019","381","","9","368","","","","1","","2","","","1","",""
"06/2019","144","","1","142","","","","","","1","","","","",""
"07/2019","303","","36","267","","","","","","","","","","",""
"08/2019","","","","37","","","","","","2","","","","",""
"11/2019","","","","4","","","","","","","","","","",""
"12/2019","23","","8","15","","","","","","","","","","",""
"01/2020","18","","7","11","","","","","","","","","","",""
"02/2020","3","","1","2","","","","","","","","","","",""
"03/2020","130","","27","103","","","","","","","","","","",""
"04/2020","33","","1","32","","","","","","","","","","",""
"05/2020","7","","1","6","","","","","","","","","","",""
"06/2020","10","","3","7","","","","","","","","","","",""
"07/2020","128","","4","123","","","","","","","","","1","",""
"08/2020","","","","8","","","","","","","","","","",""
"09/2020","","","","6","","","","","","","","","","",""
"11/2020","4","","2","2","","","","","","","","","","",""
"12/2020","14","2","","9","","2","1","","","","","","","",""
"03/2021","10","","1","9","","","","","","","","","","",""
"05/2021","","","","1","","","","","","","","","","",""
"08/2021","3","","1","2","","","","","","","","","","",""
"09/2022","46","","3","43","","","","","","","","","","",""
"06/2023","","","","1","","","","","","","","","","",""
